country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
USA,United States of America,Johnsonville Dam,USA0002580,4,42.9204,-73.5089,Hydro,,,,1909,Erie Boulevard Hydropower LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,27826,2017,6.582,10.071,4.906,4.732,6.689,
USA,United States of America,Johnston LFG Turbine Plant,USA0059254,34.5,41.8033,-71.5233,Waste,,,,2013,Rhode Island LFG Genco,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,47.38838,206.69439,211.00701,204.6021,202.98414,
USA,United States of America,Johnston Solar,USA0059858,1,41.8009,-71.5595,Solar,,,,2015,Half Moon Ventures  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,0.747,1.938,1.814,0.445927668
USA,United States of America,Joliet 29,USA0000384,1320,41.4946,-88.1238,Coal,Gas,,,1965.5,Midwest Generations EME LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17168,2017,5650.354039,5061.425962,5466.753009,1601.067,321.791,
USA,United States of America,Joliet 9,USA0000874,360.4,41.4931,-88.1153,Coal,,,,1959,Midwest Generations EME LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,17168,2017,1302.586001,1126.329022,1265.696964,206.764501,43.712,
USA,United States of America,Jones,USA0003482,860.4,33.5239,-101.7392,Gas,Oil,,,1989.275105,Southwestern Public Service Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,33298,2017,1527.930957,1423.16497,1714.035976,1559.622023,963.347996,
USA,United States of America,Jones Bluff,USA0006131,82,32.3242,-86.7843,Hydro,,,,1975,USCE-Mobile District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,35602,2017,155.479,295.454,310.377,195.134,313.981,
USA,United States of America,Jones Fork,USA0000534,10,38.8503,-120.3819,Hydro,,,,1985,Sacramento Municipal Util Dist,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,31871,2017,11.974,10.648,3.2,22.638,40.59,
USA,United States of America,Jones Street,USA0002290,130,41.2515,-95.9227,Oil,,,,1973,Omaha Public Power District,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,28894,2017,-0.408,0.294,-0.395,-0.125,0.08,
USA,United States of America,Jonesboro City Water & Light Plant,USA0056505,224.3,35.8486,-90.7254,Gas,Oil,,,2002.451181,City Water and Light Plant,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,0,0,72.324,67.723,51.609,
USA,United States of America,Joppa Steam,USA0000887,1099.8,37.2094,-88.8589,Coal,Gas,,,1954,Electric Energy Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,19175,2017,0,0,0,0,3914.254045,
USA,United States of America,Jordache Enterprises Solar,USA0058049,1.3,40.5557,-74.4084,Solar,,,,2011,Jordache Enterprises,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,1.36719,-0.064,0.817,0.675,0.809,
USA,United States of America,Jordan Dam,USA0000013,100,32.6189,-86.2548,Hydro,,,,1929,Alabama Power Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,12589,2017,477.075,294.067,336.479,269.244,211.906,
