country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
USA,United States of America,Groton Wind LLC,USA0058141,48,43.7681,-71.8189,Wind,2013,Avangrid Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63401,2017,97.57,108.413,114.765,121.408,112.974
USA,United States of America,Gunsight Mountain Wind Energy LLC,USA0056776,120,32.2403,-101.4736,Wind,2016,Invenergy Services LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,258.814,501.3
USA,United States of America,Hackberry Wind Farm,USA0056823,165.6,32.7683,-99.4228,Wind,2009,Hackberry Wind LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,57935,2017,482.147,514.455,441.309,459.455,436.644
USA,United States of America,Hadley Ridge LLC,USA0055573,1.9,44.2253,-96.235,Wind,2001,CHI Operations Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,5.95,6.665,6.282,6.462,5.571
USA,United States of America,Hammett Hill Windfarm,USA0057428,23,43.0061,-115.4633,Wind,2013,Aegis Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,69092,2017,54.349,60.61,50.491,60.594,53.162
USA,United States of America,Hancock County Wind Energy Center,USA0056010,98,43.0528,-93.63,Wind,2003,FPL Energy Hancock County Wind  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,50975,2017,280.968,269.038,256.567,246.354,253.284
USA,United States of America,Hancock Wind Plant,USA0058686,51,44.7608,-68.1469,Wind,2017,Novatus Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67163,2017,,,,8.199,138.19
USA,United States of America,Happy Jack Windpower Project,USA0056960,29.4,41.1397,-104.9978,Wind,2008,Duke Energy DEGS Happy Jack,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,56622,2017,86.95,89.58,72.216,85.648,83.593
USA,United States of America,Harbor Wind LLC,USA0058424,9,27.8322,-97.4403,Wind,2012,Harbor Wind Tenant LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64544,2017,26.12016,25.3,19.799,15.888,15.424
USA,United States of America,Hardin Hilltop Wind LLC,USA0056860,14.7,42.0822,-94.365,Wind,2007,NRG Energy Gas & Wind Holdings Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62051,2017,49.183,46.999,44.552,45.632,44.672
USA,United States of America,Hardscrabble Wind Power LLC,USA0057287,74,43.1122,-74.8789,Wind,2011,Avangrid Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,57066,2017,180.041,173.689,180.225,182.013,177.107
USA,United States of America,Harpster Wind,USA0060126,1.5,40.7183,-83.2287,Wind,2016,OEE XVII  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,,,,2.611,3.664
USA,United States of America,Harvest,USA0056635,52.8,43.83,-83.2064,Wind,2008,Harvest Windfarm  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,57239,2017,122.326,132.504,131.544,125.581,124.388
USA,United States of America,Harvest 2,USA0057888,59.4,43.8556,-83.1669,Wind,2012,Harvest II Windfarm  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,202.445,211.011,213.412,209.752,208.805
USA,United States of America,Harvest Wind Project,USA0057152,98.9,45.8131,-120.3475,Wind,2010,Harvest Wind Project TIC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,60516,2017,268.243,249.521,236.025,261.218,212.274
USA,United States of America,Hatchet Ridge Wind Project,USA0056654,101.2,40.8981,-121.8036,Wind,2011,Pattern Operators LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,59026,2017,280.223,295.512,266.264,287.24,292.43
USA,United States of America,Haviland Plastic Products,USA0058220,4.5,41.0161,-84.5875,Wind,2013,Haviland Plastic Products Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,11.014,14.721,14.668,14.628,15.008
USA,United States of America,Hawi Wind Farm,USA0056447,10.6,20.2573,-155.8504,Wind,2006,EDF Renewable Asset Holdings  Inc.,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2017,36.843,32.516,34.39,22.203,33.009
USA,United States of America,Hawkeye Power Partners LLC,USA0055816,42,43.0472,-93.4775,Wind,1999,Hawkeye Power Partners LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64459,2017,90.3,93.546,87.892,88.33,86.939
USA,United States of America,Hawkeye Wind Farm,USA0057832,35,42.9489,-92.0622,Wind,2012,RPMA Operations LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64459,2017,133.104,139.29,146.754,136.57,140.206
USA,United States of America,Hay Canyon Wind Power LLC,USA0056790,100.8,45.52,-120.5744,Wind,2009,Avangrid Renewables LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,59234,2017,226.657,228.534,196.798,206.106,183.978
USA,United States of America,Headwaters Wind Farm LLC,USA0058416,200,40.0667,-85.0133,Wind,2015,Headwaters Wind Farm LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,58228,2017,,,645.558,670.507,724.315
USA,United States of America,Heartland Community College,USA0059776,1.7,40.537,-89.019,Wind,2012,Heartland Community College,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,64346,2017,,3.878,5.181,4.741,5.103
USA,United States of America,Helzel & Schwarzhoff 86,USA0056275,2.4,35.0925,-118.3952,Wind,1987,Wind Stream Operations LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,63107,2017,3.168,3.203,0.266,2.492,2.316
