"Net generation for all utility-scale solar"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,2,0&fuel=004&geo=g0fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2019&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Sat Oct 10 2020 12:34:28 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All sectors : Alabama","thousand megawatthours","ELEC.GEN.SUN-AL-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",31,181,357,390
"All sectors : Kentucky","thousand megawatthours","ELEC.GEN.SUN-KY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",12,20,39,39
"All sectors : Mississippi","thousand megawatthours","ELEC.GEN.SUN-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,86,326,321
"All sectors : Tennessee","thousand megawatthours","ELEC.GEN.SUN-TN-99.A","--","--","--","--","--","--","--","--","--","--","--",12,20,27,76,79,92,168,333
"All sectors : West South Central",,"ELEC.GEN.SUN-WSC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arkansas","thousand megawatthours","ELEC.GEN.SUN-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,26,31,203,208
"All sectors : Louisiana","thousand megawatthours","ELEC.GEN.SUN-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,2,"NM"
"All sectors : Oklahoma","thousand megawatthours","ELEC.GEN.SUN-OK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,5,33,62,61
"All sectors : Texas","thousand megawatthours","ELEC.GEN.SUN-TX-99.A",-0,"--","--","--","--","--","--","--","--",8,29,118,163,282,401,731,2189,3206,4321
"All sectors : Mountain",,"ELEC.GEN.SUN-MTN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arizona","thousand megawatthours","ELEC.GEN.SUN-AZ-99.A",0,0,0,4,14,13,9,15,14,16,83,955,2111,3142,3457,3766,4942,5140,5108
"All sectors : Colorado","thousand megawatthours","ELEC.GEN.SUN-CO-99.A","--","--","--","--","--","--",2,18,26,42,105,165,248,253,251,538,954,1062,1208
"All sectors : Idaho","thousand megawatthours","ELEC.GEN.SUN-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",30,459,556,542
"All sectors : Montana","thousand megawatthours","ELEC.GEN.SUN-MT-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",14,34,33
"All sectors : Nevada","thousand megawatthours","ELEC.GEN.SUN-NV-99.A","--","--","--","--","--","--",44,156,174,217,291,473,745,1014,1657,3124,4146,4719,4866
"All sectors : New Mexico","thousand megawatthours","ELEC.GEN.SUN-NM-99.A","--","--","--","--","--","--","--","--","--",9,128,334,388,515,615,752,1193,1349,1356
"All sectors : Utah","thousand megawatthours","ELEC.GEN.SUN-UT-99.A","--","--","--","--","--","--","--","--","--","--","--",2,2,2,32,1054,2211,2224,2148
"All sectors : Wyoming","thousand megawatthours","ELEC.GEN.SUN-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,180
"All sectors : Pacific Contiguous",,"ELEC.GEN.SUN-PCC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : California","thousand megawatthours","ELEC.GEN.SUN-CA-99.A",542,554,534,571,537,495,557,670,647,769,889,1382,3814,9932,14814,18807,24353,26985,28620
"All sectors : Oregon","thousand megawatthours","ELEC.GEN.SUN-OR-99.A","--","--","--","--","--","--","--","--","--","--",0,6,20,24,24,41,194,572,665
"All sectors : Washington","thousand megawatthours","ELEC.GEN.SUN-WA-99.A","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,0,2,42
"All sectors : Pacific Noncontiguous",,"ELEC.GEN.SUN-PCN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Alaska","thousand megawatthours","ELEC.GEN.SUN-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"All sectors : Hawaii","thousand megawatthours","ELEC.GEN.SUN-HI-99.A","--","--","--","--","--","--","--",0,1,2,4,5,19,39,54,89,175,185,268
