"Net generation for conventional hydroelectric"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,2,0&fuel=04&geo=g0fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2019&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin="
"Sat Oct 10 2020 12:33:34 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All sectors : South Carolina","thousand megawatthours","ELEC.GEN.HYC-SC-99.A",1225,1390,3665,2447,2938,1807,1556,1123,2332,2376,1554,1420,3160,2569,2564,2226,1835,3014,2836
"All sectors : Virginia","thousand megawatthours","ELEC.GEN.HYC-VA-99.A",1014,868,1782,1583,1484,1351,1248,1011,1479,1500,1210,1044,1254,955,1158,1471,1116,1765,1551
"All sectors : West Virginia","thousand megawatthours","ELEC.GEN.HYC-WV-99.A",952,1066,1356,1318,1448,1572,1254,1248,1646,1367,1453,1431,1739,1242,1385,1638,1658,1848,1776
"All sectors : East South Central",,"ELEC.GEN.HYC-ESC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Alabama","thousand megawatthours","ELEC.GEN.HYC-AL-99.A",8356,8825,12665,10626,10145,7252,4136,6136,12535,8704,8884,7435,12899,9467,9862,6985,9237,11143,10839
"All sectors : Kentucky","thousand megawatthours","ELEC.GEN.HYC-KY-99.A",3856,4025,3948,3780,2961,2592,1669,1917,3318,2580,2969,2362,3275,3144,3403,3478,4506,4418,4007
"All sectors : Mississippi","thousand megawatthours","ELEC.GEN.HYC-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"All sectors : Tennessee","thousand megawatthours","ELEC.GEN.HYC-TN-99.A",6947,7974,12004,10408,9310,7749,4940,5646,10212,8138,9576,8296,12443,8901,9581,6774,8691,10293,9857
"All sectors : West South Central",,"ELEC.GEN.HYC-WSC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arkansas","thousand megawatthours","ELEC.GEN.HYC-AR-99.A",2548,3436,2655,3643,3083,1551,3237,4660,4193,3659,2958,2198,2655,2640,3569,3570,2943,3009,2719
"All sectors : Louisiana","thousand megawatthours","ELEC.GEN.HYC-LA-99.A",732,891,892,1099,811,713,827,1064,1236,1109,1044,680,1045,1090,999,1103,906,1180,1147
"All sectors : Oklahoma","thousand megawatthours","ELEC.GEN.HYC-OK-99.A",2345,1988,1798,2977,2630,624,3066,3811,3553,2809,1507,1146,2178,1428,2664,2573,2036,2035,1824
"All sectors : Texas","thousand megawatthours","ELEC.GEN.HYC-TX-99.A",1200,1123,897,1301,1333,662,1644,1039,1029,1262,563,584,480,386,956,1342,1062,1126,998
"All sectors : Mountain",,"ELEC.GEN.HYC-MTN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arizona","thousand megawatthours","ELEC.GEN.HYC-AZ-99.A",7624,7427,7075,6973,6410,6793,6598,7286,6427,6622,9174,6717,5915,6118,6536,7168,6832,6982,6096
"All sectors : Colorado","thousand megawatthours","ELEC.GEN.HYC-CO-99.A",1495,1209,1262,1195,1415,1791,1730,2039,1886,1578,2083,1497,1213,1770,1620,1903,1897,1825,1607
"All sectors : Idaho","thousand megawatthours","ELEC.GEN.HYC-ID-99.A",7223,8769,8354,8462,8542,11242,9022,9363,10434,9154,13405,10940,8473,9002,8757,9033,10670,11024,9112
"All sectors : Montana","thousand megawatthours","ELEC.GEN.HYC-MT-99.A",6613,9567,8702,8856,9587,10130,9364,10000,9506,9415,12596,11283,9638,11483,9888,10083,10946,11405,9409
"All sectors : Nevada","thousand megawatthours","ELEC.GEN.HYC-NV-99.A",2514,2268,1757,1615,1702,2058,2003,1751,2461,2157,2191,2440,2682,2389,2264,1789,1813,1881,2233
"All sectors : New Mexico","thousand megawatthours","ELEC.GEN.HYC-NM-99.A",237,265,171,139,165,198,268,312,271,217,195,223,92,98,99,148,193,150,133
"All sectors : Utah","thousand megawatthours","ELEC.GEN.HYC-UT-99.A",508,458,421,450,784,747,539,668,835,696,1230,748,505,633,769,760,1294,927,781
"All sectors : Wyoming","thousand megawatthours","ELEC.GEN.HYC-WY-99.A",879,584,594,593,808,843,729,835,967,1024,1224,893,711,869,868,973,1124,976,820
"All sectors : Pacific Contiguous",,"ELEC.GEN.HYC-PCC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : California","thousand megawatthours","ELEC.GEN.HYC-CA-99.A",25542,31141,36371,34141,39632,48047,27328,24128,27888,33431,42557,26837,23755,16531,13808,28942,42363,26331,40051
"All sectors : Oregon","thousand megawatthours","ELEC.GEN.HYC-OR-99.A",28645,34413,33250,33081,30948,37850,33587,33805,33034,30542,42315,39410,33098,35262,31254,34549,38294,35443,29526
"All sectors : Washington","thousand megawatthours","ELEC.GEN.HYC-WA-99.A",54734,78167,71757,71576,72075,82008,78829,77637,72933,68288,91818,89464,78155,79463,73405,78346,82183,80883,66181
"All sectors : Pacific Noncontiguous",,"ELEC.GEN.HYC-PCN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Alaska","thousand megawatthours","ELEC.GEN.HYC-AK-99.A",1346,1439,1583,1498,1464,1224,1291,1172,1324,1433,1345,1575,1435,1539,1569,1659,1644,1664,1398
"All sectors : Hawaii","thousand megawatthours","ELEC.GEN.HYC-HI-99.A",101,95,91,94,96,120,92,84,113,70,93,115,78,94,121,91,66,97,70
