"Net generation for wind"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,2,0&fuel=008&geo=g0fvvvvvvvvvo&sec=g&freq=A&start=2001&end=2019&ctype=linechart&ltype=sourcekey&rtype=s&pin=&rse=0&maptype=0"
"Sat Oct 10 2020 12:32:47 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All sectors : Mississippi","thousand megawatthours","ELEC.GEN.WND-MS-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"All sectors : Tennessee","thousand megawatthours","ELEC.GEN.WND-TN-99.A","--",4,4,4,3,55,50,50,52,41,53,47,47,51,46,38,43,41,41
"All sectors : West South Central",,"ELEC.GEN.WND-WSC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arkansas","thousand megawatthours","ELEC.GEN.WND-AR-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"All sectors : Louisiana","thousand megawatthours","ELEC.GEN.WND-LA-99.A","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"All sectors : Oklahoma","thousand megawatthours","ELEC.GEN.WND-OK-99.A","--","--",54,573,848,1712,1849,2358,2698,3808,5605,8158,11162,11937,14031,20069,23599,27338,28883
"All sectors : Texas","thousand megawatthours","ELEC.GEN.WND-TX-99.A",1188,2656,2570,3138,4237,6671,9006,16225,20026,26251,30548,32214,35874,40005,44833,57531,67061,75700,84429
"All sectors : Mountain",,"ELEC.GEN.WND-MTN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arizona","thousand megawatthours","ELEC.GEN.WND-AZ-99.A","--","--","--","--","--","--","--","--",30,135,256,532,450,468,452,542,570,530,557
"All sectors : Colorado","thousand megawatthours","ELEC.GEN.WND-CO-99.A",49,139,147,220,776,866,1292,3221,3164,3452,5200,5969,7204,7369,7475,9421,9315,9745,10926
"All sectors : Idaho","thousand megawatthours","ELEC.GEN.WND-ID-99.A","--","--","--","--","--",170,172,207,313,441,1307,1891,2460,2806,2270,2578,2545,2655,2657
"All sectors : Montana","thousand megawatthours","ELEC.GEN.WND-MT-99.A","--","--","--","--","--",436,496,593,821,930,1265,1262,1755,1974,1965,2140,2155,2153,2323
"All sectors : Nevada","thousand megawatthours","ELEC.GEN.WND-NV-99.A","--","--","--","--","--","--","--","--","--","--","--",129,251,300,310,344,361,312,324
"All sectors : New Mexico","thousand megawatthours","ELEC.GEN.WND-NM-99.A","--","--",183,513,795,1255,1393,1643,1547,1832,2104,2226,2193,2275,2090,3605,4595,6092,6860
"All sectors : Utah","thousand megawatthours","ELEC.GEN.WND-UT-99.A","--","--","--","--","--","--","--",24,160,448,573,704,540,660,626,822,858,795,809
"All sectors : Wyoming","thousand megawatthours","ELEC.GEN.WND-WY-99.A",365,447,366,617,717,759,755,963,2226,3247,4612,4369,4433,4406,3757,4389,4321,4057,4042
"All sectors : Pacific Contiguous",,"ELEC.GEN.WND-PCC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : California","thousand megawatthours","ELEC.GEN.WND-CA-99.A",3500,3803,3895,4306,4262,4883,5585,5385,5840,6079,7752,9754,12822,12992,12230,13509,12823,14024,14970
"All sectors : Oregon","thousand megawatthours","ELEC.GEN.WND-OR-99.A",89,376,444,619,734,931,1247,2575,3470,3920,4775,6343,7456,7555,6632,7157,6227,7447,7169
"All sectors : Washington","thousand megawatthours","ELEC.GEN.WND-WA-99.A","--",417,604,737,498,1038,2438,3657,3572,4745,6262,6600,7004,7268,7075,8042,6925,7900,7724
"All sectors : Pacific Noncontiguous",,"ELEC.GEN.WND-PCN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Alaska","thousand megawatthours","ELEC.GEN.WND-AK-99.A",1,"--","--","--",1,1,1,0,7,13,12,37,145,152,160,169,142,155,154
"All sectors : Hawaii","thousand megawatthours","ELEC.GEN.WND-HI-99.A",2,2,2,7,7,80,238,240,251,261,341,378,503,579,613,639,532,602,595
