"Net generation for all fuels (utility-scale)"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,2,0&fuel=g&geo=g0fvvvvvvvvvo&sec=g&linechart=ELEC.GEN.ALL-US-99.A&columnchart=ELEC.GEN.ALL-US-99.A&map=ELEC.GEN.ALL-US-99.A&freq=A&start=2001&end=2019&ctype=linechart&ltype=sourcekey&rtype=s&maptype=0&rse=0&pin="
"Sat Oct 10 2020 12:31:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"All sectors : Georgia","thousand megawatthours","ELEC.GEN.ALL-GA-99.A",118317,126512,124077,126813,136668,138010,145155,136173,128698,137577,124749,122306,120954,125837,128818,133380,127455,129239,127764
"All sectors : Maryland","thousand megawatthours","ELEC.GEN.ALL-MD-99.A",49062,48279,52244,52053,52662,48957,50198,47361,43775,43607,41818,37810,35851,37834,36366,37167,34104,43810,39673
"All sectors : North Carolina","thousand megawatthours","ELEC.GEN.ALL-NC-99.A",117496,124468,127582,126330,129749,125215,130115,125239,118407,128678,118390,116682,125936,128144,128388,130779,128468,134249,131741
"All sectors : South Carolina","thousand megawatthours","ELEC.GEN.ALL-SC-99.A",89159,96563,93773,97940,102515,99268,103402,100978,100125,104153,102973,96756,95250,97158,96532,96986,93081,99364,100487
"All sectors : Virginia","thousand megawatthours","ELEC.GEN.ALL-VA-99.A",74105,75006,75309,78900,78943,73070,78361,72679,70082,72966,66671,70739,76897,77137,84412,92555,90417,95509,97417
"All sectors : West Virginia","thousand megawatthours","ELEC.GEN.ALL-WV-99.A",81837,94762,94712,89750,93626,93816,93933,91123,70783,80789,79000,73413,75863,81060,72295,75943,73357,67249,63974
"All sectors : East South Central",,"ELEC.GEN.ALL-ESC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Alabama","thousand megawatthours","ELEC.GEN.ALL-AL-99.A",125345,132921,137487,137355,137949,140895,143826,145870,143256,152151,156339,152879,150573,149340,152477,142385,139964,145058,141696
"All sectors : Kentucky","thousand megawatthours","ELEC.GEN.ALL-KY-99.A",95418,92107,91719,94530,97822,98792,97225,97863,90630,98218,98351,89950,89741,90896,83544,80274,73179,78804,71128
"All sectors : Mississippi","thousand megawatthours","ELEC.GEN.ALL-MS-99.A",53446,42889,40148,43663,45067,46229,50044,48206,48701,54487,51571,54584,52810,55127,64758,62881,59728,63474,66832
"All sectors : Tennessee","thousand megawatthours","ELEC.GEN.ALL-TN-99.A",96222,96114,92222,97595,97117,93911,95113,90663,79717,82349,81104,77724,79652,79507,75215,79341,79046,81555,81734
"All sectors : West South Central",,"ELEC.GEN.ALL-WSC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arkansas","thousand megawatthours","ELEC.GEN.ALL-AR-99.A",47192,47612,50401,51928,47795,52169,54596,55051,57458,61000,61308,65006,60322,61592,55559,60445,60775,67999,61605
"All sectors : Louisiana","thousand megawatthours","ELEC.GEN.ALL-LA-99.A",87894,94971,94885,98172,92617,90922,92578,92453,90994,102885,105491,103408,102010,104229,107812,107269,97719,102128,101430
"All sectors : Oklahoma","thousand megawatthours","ELEC.GEN.ALL-OK-99.A",55249,59183,60627,60730,68608,70615,72819,76329,75067,72251,74606,77897,73674,70156,76136,78655,73732,86224,83482
"All sectors : Texas","thousand megawatthours","ELEC.GEN.ALL-TX-99.A",372580,385629,379200,390299,396669,400583,405492,404788,397168,411695,435477,429813,433380,437630,449826,454048,452794,477352,482355
"All sectors : Mountain",,"ELEC.GEN.ALL-MTN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Arizona","thousand megawatthours","ELEC.GEN.ALL-AZ-99.A",89911,94132,94396,104564,101479,104393,113341,119459,111971,111751,108125,110905,113326,112257,113142,108763,105852,111925,113288
"All sectors : Colorado","thousand megawatthours","ELEC.GEN.ALL-CO-99.A",46876,45600,46617,47869,49617,50698,53907,53442,50566,50721,51433,52557,52937,53847,52393,54418,53844,55386,56191
"All sectors : Idaho","thousand megawatthours","ELEC.GEN.ALL-ID-99.A",9347,9787,10423,10863,10825,13386,11484,11971,13100,12025,16569,15499,15186,15184,15667,15661,17396,18172,16436
"All sectors : Montana","thousand megawatthours","ELEC.GEN.ALL-MT-99.A",24232,25474,26269,26789,27939,28244,28931,29637,26713,29791,30129,27805,27687,30258,29302,27784,28221,28213,27241
"All sectors : Nevada","thousand megawatthours","ELEC.GEN.ALL-NV-99.A",33876,32089,33195,37667,40214,31860,32670,35090,37705,35146,31936,35173,36444,36001,39047,39787,38201,39640,39790
"All sectors : New Mexico","thousand megawatthours","ELEC.GEN.ALL-NM-99.A",33612,30662,32736,32940,35136,37266,35985,37010,39674,36252,38181,36636,35871,32306,32701,32912,33597,32674,35150
"All sectors : Utah","thousand megawatthours","ELEC.GEN.ALL-UT-99.A",35854,36608,38024,38212,38165,41263,45373,46579,43543,42249,40836,39403,42517,43785,41949,38134,37412,39375,39189
"All sectors : Wyoming","thousand megawatthours","ELEC.GEN.ALL-WY-99.A",44777,43784,43627,44808,45567,45400,45633,46500,46029,48119,47638,49589,52483,49696,48967,46657,46742,46112,41335
"All sectors : Pacific Contiguous",,"ELEC.GEN.ALL-PCC-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : California","thousand megawatthours","ELEC.GEN.ALL-CA-99.A",198596,184210,192789,194780,200293,216799,210848,207984,204776,204126,200805,199519,200077,198808,196704,196963,206147,195466,205033
"All sectors : Oregon","thousand megawatthours","ELEC.GEN.ALL-OR-99.A",45052,47099,48966,51381,49325,53341,55078,58718,56691,55127,59695,60933,59896,60120,57867,60182,62714,64114,62288
"All sectors : Washington","thousand megawatthours","ELEC.GEN.ALL-WA-99.A",83049,102765,100095,102165,101966,108203,106990,110828,104470,103473,115263,116835,114173,116334,109287,114087,115912,116757,105719
"All sectors : Pacific Noncontiguous",,"ELEC.GEN.ALL-PCN-99.A",,,,,,,,,,,,,,,,,,,
"All sectors : Alaska","thousand megawatthours","ELEC.GEN.ALL-AK-99.A",6744,6767,6339,6527,6577,6674,6821,6775,6702,6760,6871,6946,6497,6043,6285,6335,6497,6247,6340
"All sectors : Hawaii","thousand megawatthours","ELEC.GEN.ALL-HI-99.A",10633,11663,10976,11410,11523,11559,11533,11376,11011,10836,10723,10469,10267,10204,10120,9949,9813,9797,9871
